C2 d 3 Pi                                         


  RMIN = 0.750  MAXV   = 12  BE =    1.7527
  RMAX = 3.500  KDMAXV = 12  RE =    1.2664
  DELR = 0.005  NEIG   =  0  DE =48627.3008
  ZMU  = 6.000
 Debugging
 C2 d 3 Pi                                                    0           1           0           0           2   6.00000000      0.750000000       3.50000000       4.99999989E-03          12   1.75269997       48627.3008              12           0
   0.00000000       890.000000       2645.34009       4367.79980       6057.37988       7714.08008       9337.90039       10928.7998       12486.9004       14012.0996       15504.4004       16963.8008       18390.3008       19784.0000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       1.75269997       1.74466002       1.72858000       1.71249998       1.69641995       1.68034005       1.66426003       1.64818001       1.63209999       1.61601996       1.59993994       1.58386004       1.56778002       1.55170000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000    


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM   1.045 TO   1.665 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
         0.7500          223633.734         0.7550          216456.844         0.7600          209474.250
         0.7650          202681.203         0.7700          196073.297         0.7750          189646.031
         0.7800          183394.969         0.7850          177315.797         0.7900          171404.578
         0.7950          165657.141         0.8000          160069.484         0.8050          154637.734
         0.8100          149358.125         0.8150          144227.000         0.8200          139240.641
         0.8250          134395.578         0.8300          129688.375         0.8350          125115.617
         0.8400          120674.023         0.8450          116360.328         0.8500          112171.445
         0.8550          108104.359         0.8600          104155.969         0.8650          100323.398
         0.8700           96603.773         0.8750           92994.266         0.8800           89492.172
         0.8850           86094.828         0.8900           82799.633         0.8950           79604.023
         0.9000           76505.500         0.9050           73501.664         0.9100           70590.141
         0.9150           67768.594         0.9200           65034.758         0.9250           62386.438
         0.9300           59821.504         0.9350           57337.820         0.9400           54933.312
         0.9450           52605.992         0.9500           50353.887         0.9550           48175.090
         0.9600           46067.727         0.9650           44029.961         0.9700           42059.980
         0.9750           40156.090         0.9800           38316.594         0.9850           36539.793
         0.9900           34824.082         0.9950           33167.883         1.0000           31569.621
         1.0050           30027.822         1.0100           28540.977         1.0150           27107.680
         1.0200           25726.500         1.0250           24396.088         1.0300           23115.078
         1.0350           21882.182         1.0400           20696.117         1.0450           19358.994
         1.0500           18461.672         1.0550           17579.041         1.0600           16712.049
         1.0650           15862.291         1.0700           15030.815         1.0750           14218.730
         1.0800           13427.221         1.0850           12656.661         1.0900           11908.169
         1.0950           11182.139         1.1000           10479.449         1.1050            9800.661
         1.1100            9145.596         1.1150            8514.643         1.1200            7907.938
         1.1250            7325.662         1.1300            6767.820         1.1350            6234.396
         1.1400            5725.202         1.1450            5240.252         1.1500            4779.235
         1.1550            4342.012         1.1600            3928.263         1.1650            3537.713
         1.1700            3170.091         1.1750            2824.993         1.1800            2502.119
         1.1850            2201.049         1.1900            1921.392         1.1950            1662.730
         1.2000            1424.658         1.2050            1206.729         1.2100            1008.519
         1.2150             829.577         1.2200             669.451         1.2250             527.691
         1.2300             403.841         1.2350             297.458         1.2400             208.077
         1.2450             135.262         1.2500              78.549         1.2550              37.484
         1.2600              11.622         1.2650               0.522         1.2700               3.751
         1.2750              20.881         1.2800              51.488         1.2850              95.158
         1.2900             151.479         1.2950             220.047         1.3000             300.463
