


  RMIN =  .750  MAXV   = 10  BE =    2.6500
  RMAX = 5.500  KDMAXV = 10  RE =    2.5651
  DELR =  .005  NEIG   =  0  DE =14775.5200
  ZMU  =  .967


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM   1.775 TO   3.940 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
          .7500           86780.450          .7550           85952.690          .7600           85131.660
          .7650           84317.340          .7700           83509.670          .7750           82708.600
          .7800           81914.080          .7850           81126.060          .7900           80344.510
          .7950           79569.350          .8000           78800.560          .8050           78038.090
          .8100           77281.890          .8150           76531.910          .8200           75788.090
          .8250           75050.420          .8300           74318.830          .8350           73593.280
          .8400           72873.730          .8450           72160.130          .8500           71452.440
          .8550           70750.610          .8600           70054.600          .8650           69364.380
          .8700           68679.880          .8750           68001.090          .8800           67327.940
          .8850           66660.410          .8900           65998.440          .8950           65341.990
          .9000           64691.040          .9050           64045.520          .9100           63405.420
          .9150           62770.680          .9200           62141.260          .9250           61517.130
          .9300           60898.250          .9350           60284.570          .9400           59676.060
          .9450           59072.680          .9500           58474.400          .9550           57881.170
          .9600           57292.950          .9650           56709.720          .9700           56131.430
          .9750           55558.040          .9800           54989.520          .9850           54425.840
          .9900           53866.950          .9950           53312.830         1.0000           52763.430
         1.0050           52218.710         1.0100           51678.660         1.0150           51143.230
         1.0200           50612.380         1.0250           50086.090         1.0300           49564.310
         1.0350           49047.020         1.0400           48534.170         1.0450           48025.750
         1.0500           47521.700         1.0550           47022.020         1.0600           46526.640
         1.0650           46035.560         1.0700           45548.730         1.0750           45066.120
         1.0800           44587.700         1.0850           44113.440         1.0900           43643.310
         1.0950           43177.280         1.1000           42715.310         1.1050           42257.380
         1.1100           41803.450         1.1150           41353.500         1.1200           40907.490
         1.1250           40465.400         1.1300           40027.190         1.1350           39592.840
         1.1400           39162.320         1.1450           38735.590         1.1500           38312.640
         1.1550           37893.430         1.1600           37477.930         1.1650           37066.120
         1.1700           36657.960         1.1750           36253.430         1.1800           35852.510
         1.1850           35455.160         1.1900           35061.360         1.1950           34671.070
         1.2000           34284.290         1.2050           33900.970         1.2100           33521.090
         1.2150           33144.630         1.2200           32771.550         1.2250           32401.840
         1.2300           32035.470         1.2350           31672.410         1.2400           31312.630
         1.2450           30956.120         1.2500           30602.850         1.2550           30252.790
         1.2600           29905.910         1.2650           29562.210         1.2700           29221.640
         1.2750           28884.180         1.2800           28549.820         1.2850           28218.530
         1.2900           27890.280         1.2950           27565.050         1.3000           27242.820
         1.3050           26923.570         1.3100           26607.270         1.3150           26293.900
         1.3200           25983.430         1.3250           25675.860         1.3300           25371.140
         1.3350           25069.270         1.3400           24770.210         1.3450           24473.950
         1.3500           24180.470         1.3550           23889.740         1.3600           23601.750
         1.3650           23316.470         1.3700           23033.880         1.3750           22753.960
         1.3800           22476.690         1.3850           22202.050         1.3900           21930.020
         1.3950           21660.570         1.4000           21393.700         1.4050           21129.380
         1.4100           20867.580         1.4150           20608.300         1.4200           20351.500
1
