


  RMIN =  .750  MAXV   = 20  BE =    1.9730
  RMAX = 3.500  KDMAXV = 20  RE =    1.1501
  DELR =  .005  NEIG   =  0  DE =57951.2800
  ZMU  = 6.462


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM    .935 TO   1.695 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
          .7500          212348.900          .7550          203850.500          .7600          195635.000
          .7650          187694.200          .7700          180020.100          .7750          172605.000
          .7800          165441.100          .7850          158521.200          .7900          151838.000
          .7950          145384.700          .8000          139154.400          .8050          133140.600
          .8100          127336.800          .8150          121736.900          .8200          116334.800
          .8250          111124.500          .8300          106100.400          .8350          101256.900
          .8400           96588.700          .8450           92090.430          .8500           87757.020
          .8550           83583.500          .8600           79565.050          .8650           75697.000
          .8700           71974.770          .8750           68393.950          .8800           64950.220
          .8850           61639.410          .8900           58457.450          .8950           55400.380
          .9000           52464.380          .9050           49645.710          .9100           46940.750
          .9150           44345.960          .9200           41857.940          .9250           39473.360
          .9300           37188.980          .9350           34609.860          .9400           32921.600
          .9450           31238.250          .9500           29570.770          .9550           27927.580
          .9600           26316.680          .9650           24743.850          .9700           23214.150
          .9750           21731.740          .9800           20299.470          .9850           18919.790
          .9900           17594.050          .9950           16323.270         1.0000           15108.090
         1.0050           13948.420         1.0100           12844.000         1.0150           11794.460
         1.0200           10799.020         1.0250            9856.848         1.0300            8966.886
         1.0350            8128.048         1.0400            7339.097         1.0450            6598.890
         1.0500            5905.993         1.0550            5259.220         1.0600            4657.140
         1.0650            4098.400         1.0700            3581.717         1.0750            3105.722
         1.0800            2669.078         1.0850            2270.494         1.0900            1908.681
         1.0950            1582.346         1.1000            1290.280         1.1050            1031.246
         1.1100             804.064         1.1150             607.570         1.1200             440.635
         1.1250             302.157         1.1300             191.077         1.1350             106.350
         1.1400              46.907         1.1450              11.775         1.1500                .004
         1.1550              10.669         1.1600              42.872         1.1650              95.740
         1.1700             168.426         1.1750             260.107         1.1800             369.988
         1.1850             497.298         1.1900             641.291         1.1950             801.242
         1.2000             976.434         1.2050            1166.205         1.2100            1369.896
         1.2150            1586.862         1.2200            1816.481         1.2250            2058.184
         1.2300            2311.389         1.2350            2575.508         1.2400            2850.034
         1.2450            3134.427         1.2500            3428.213         1.2550            3730.873
         1.2600            4041.959         1.2650            4361.002         1.2700            4687.574
         1.2750            5021.263         1.2800            5361.600         1.2850            5708.276
         1.2900            6060.847         1.2950            6418.944         1.3000            6782.280
         1.3050            7150.460         1.3100            7523.136         1.3150            7899.968
         1.3200            8280.772         1.3250            8665.126         1.3300            9052.778
         1.3350            9443.464         1.3400            9836.979         1.3450           10232.920
         1.3500           10631.140         1.3550           11031.380         1.3600           11433.360
         1.3650           11836.980         1.3700           12241.960         1.3750           12648.100
         1.3800           13055.170         1.3850           13462.980         1.3900           13871.440
         1.3950           14280.250         1.4000           14689.360         1.4050           15098.510
         1.4100           15507.570         1.4150           15916.450         1.4200           16324.960
1
         1.4250           16733.110         1.4300           17140.420         1.4350           17546.880
         1.4400           17952.500         1.4450           18357.340         1.4500           18760.880
         1.4550           19163.320         1.4600           19564.380         1.4650           19964.040
         1.4700           20362.250         1.4750           20759.040         1.4800           21153.820
         1.4850           21547.040         1.4900           21938.160         1.4950           22327.690
         1.5000           22715.010         1.5050           23100.410         1.5100           23483.600
         1.5150           23864.810         1.5200           24243.700         1.5250           24620.500
         1.5300           24994.920         1.5350           25366.840         1.5400           25736.320
         1.5450           26103.330         1.5500           26468.030         1.5550           26829.940
         1.5600           27189.500         1.5650           27546.270         1.5700           27900.600
         1.5750           28252.230         1.5800           28601.240         1.5850           28947.480
         1.5900           29290.990         1.5950           29631.610         1.6000           29969.710
         1.6050           30304.840         1.6100           30637.400         1.6150           30966.820
         1.6200           31293.680         1.6250           31617.340         1.6300           31938.540
         1.6350           32256.920         1.6400           32572.210         1.6450           32884.850
         1.6500           33194.460         1.6550           33501.460         1.6600           33805.000
         1.6650           34105.970         1.6700           34404.330         1.6750           34699.880
         1.6800           34992.220         1.6850           35281.800         1.6900           35568.510
         1.6950           35852.310         1.7000           36133.050         1.7050           36410.860
         1.7100           36685.700         1.7150           36957.600         1.7200           37226.570
         1.7250           37492.610         1.7300           37755.750         1.7350           38016.010
         1.7400           38273.390         1.7450           38527.910         1.7500           38779.590
         1.7550           39028.450         1.7600           39274.500         1.7650           39517.770
         1.7700           39758.270         1.7750           39996.020         1.7800           40231.040
         1.7850           40463.350         1.7900           40692.960         1.7950           40919.910
         1.8000           41144.200         1.8050           41365.870         1.8100           41584.930
         1.8150           41801.390         1.8200           42015.290         1.8250           42226.640
         1.8300           42435.470         1.8350           42641.800         1.8400           42845.640
         1.8450           43047.020         1.8500           43245.970         1.8550           43442.500
         1.8600           43636.630         1.8650           43828.390         1.8700           44017.800
         1.8750           44204.890         1.8800           44389.660         1.8850           44572.160
         1.8900           44752.390         1.8950           44930.380         1.9000           45106.160
         1.9050           45279.740         1.9100           45451.140         1.9150           45620.390
         1.9200           45787.520         1.9250           45952.540         1.9300           46115.460
         1.9350           46276.330         1.9400           46435.160         1.9450           46591.960
         1.9500           46746.760         1.9550           46899.590         1.9600           47050.450
         1.9650           47199.390         1.9700           47346.400         1.9750           47491.530
         1.9800           47634.780         1.9850           47776.180         1.9900           47915.750
         1.9950           48053.500         2.0000           48189.470         2.0050           48323.670
         2.0100           48456.120         2.0150           48586.830         2.0200           48715.840
         2.0250           48843.160         2.0300           48968.800         2.0350           49092.790
         2.0400           49215.160         2.0450           49335.910         2.0500           49455.060
         2.0550           49572.640         2.0600           49688.660         2.0650           49803.140
         2.0700           49916.110         2.0750           50027.570         2.0800           50137.550
         2.0850           50246.060         2.0900           50353.130         2.0950           50458.770
1
         2.1000           50562.990         2.1050           50665.810         2.1100           50767.260
         2.1150           50867.350         2.1200           50966.090         2.1250           51063.500
         2.1300           51159.600         2.1350           51254.410         2.1400           51347.930
         2.1450           51440.200         2.1500           51531.210         2.1550           51620.990
         2.1600           51709.560         2.1650           51796.930         2.1700           51883.110
         2.1750           51968.110         2.1800           52051.960         2.1850           52134.680
         2.1900           52216.260         2.1950           52296.730         2.2000           52376.100
         2.2050           52454.390         2.2100           52531.610         2.2150           52607.770
         2.2200           52682.890         2.2250           52756.980         2.2300           52830.050
         2.2350           52902.130         2.2400           52973.210         2.2450           53043.310
         2.2500           53112.450         2.2550           53180.640         2.2600           53247.890
         2.2650           53314.210         2.2700           53379.620         2.2750           53444.130
         2.2800           53507.740         2.2850           53570.470         2.2900           53632.340
         2.2950           53693.350         2.3000           53753.520         2.3050           53812.850
         2.3100           53871.360         2.3150           53929.060         2.3200           53985.960
         2.3250           54042.070         2.3300           54097.390         2.3350           54151.960
